,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_genre
0,0.506,0.794,11,-5.884,0,0.0551,0.639,3.45e-05,0.0763,0.731,154.582,audio_features,5iq4NDi4fznJJRLL1rXNE4,spotify:track:5iq4NDi4fznJJRLL1rXNE4,https://api.spotify.com/v1/tracks/5iq4NDi4fznJJRLL1rXNE4,https://api.spotify.com/v1/audio-analysis/5iq4NDi4fznJJRLL1rXNE4,266867,4,mpb
1,0.483,0.386,9,-10.062,1,0.0285,0.736,0.0,0.115,0.483,80.074,audio_features,1de5qtvROLxLtMAQrmZjev,spotify:track:1de5qtvROLxLtMAQrmZjev,https://api.spotify.com/v1/tracks/1de5qtvROLxLtMAQrmZjev,https://api.spotify.com/v1/audio-analysis/1de5qtvROLxLtMAQrmZjev,190960,4,mpb
2,0.546,0.356,9,-11.526,1,0.0289,0.885,8.15e-05,0.0942,0.148,70.043,audio_features,1yUm0iWD3rDf8dViBRpSkt,spotify:track:1yUm0iWD3rDf8dViBRpSkt,https://api.spotify.com/v1/tracks/1yUm0iWD3rDf8dViBRpSkt,https://api.spotify.com/v1/audio-analysis/1yUm0iWD3rDf8dViBRpSkt,171360,4,mpb
3,0.412,0.313,1,-12.111,1,0.0334,0.563,0.0,0.12,0.115,105.158,audio_features,19KDsFyj6Nyxa9xLb29lOL,spotify:track:19KDsFyj6Nyxa9xLb29lOL,https://api.spotify.com/v1/tracks/19KDsFyj6Nyxa9xLb29lOL,https://api.spotify.com/v1/audio-analysis/19KDsFyj6Nyxa9xLb29lOL,242333,4,mpb
4,0.545,0.231,2,-12.97,0,0.0475,0.901,0.0,0.704,0.384,116.846,audio_features,76Pcpmj6tcHliNP1XIA3oK,spotify:track:76Pcpmj6tcHliNP1XIA3oK,https://api.spotify.com/v1/tracks/76Pcpmj6tcHliNP1XIA3oK,https://api.spotify.com/v1/audio-analysis/76Pcpmj6tcHliNP1XIA3oK,251640,4,mpb
5,0.529,0.548,11,-12.534,0,0.0512,0.19,0.0,0.141,0.933,88.631,audio_features,0IRQkXY4szWA1RNBeV6lu1,spotify:track:0IRQkXY4szWA1RNBeV6lu1,https://api.spotify.com/v1/tracks/0IRQkXY4szWA1RNBeV6lu1,https://api.spotify.com/v1/audio-analysis/0IRQkXY4szWA1RNBeV6lu1,157640,4,mpb
6,0.774,0.647,1,-6.682,0,0.0514,0.47,0.000569,0.46,0.965,95.098,audio_features,2BvDFQOl4JieEGK2cgKOey,spotify:track:2BvDFQOl4JieEGK2cgKOey,https://api.spotify.com/v1/tracks/2BvDFQOl4JieEGK2cgKOey,https://api.spotify.com/v1/audio-analysis/2BvDFQOl4JieEGK2cgKOey,200960,4,mpb
7,0.722,0.482,7,-8.709,1,0.236,0.16,0.0,0.0937,0.831,110.458,audio_features,4mLgwdh7xJuSk30TiiuSDy,spotify:track:4mLgwdh7xJuSk30TiiuSDy,https://api.spotify.com/v1/tracks/4mLgwdh7xJuSk30TiiuSDy,https://api.spotify.com/v1/audio-analysis/4mLgwdh7xJuSk30TiiuSDy,240280,4,mpb
8,0.763,0.838,10,-6.117,1,0.0719,0.301,5.51e-05,0.0616,0.946,93.956,audio_features,2ZMUCD2n1KMmJLvelormrk,spotify:track:2ZMUCD2n1KMmJLvelormrk,https://api.spotify.com/v1/tracks/2ZMUCD2n1KMmJLvelormrk,https://api.spotify.com/v1/audio-analysis/2ZMUCD2n1KMmJLvelormrk,210400,4,mpb
9,0.455,0.442,9,-7.793,1,0.0815,0.717,0.0,0.233,0.252,173.672,audio_features,5eEfFfQq3ruywWA5uw7nhj,spotify:track:5eEfFfQq3ruywWA5uw7nhj,https://api.spotify.com/v1/tracks/5eEfFfQq3ruywWA5uw7nhj,https://api.spotify.com/v1/audio-analysis/5eEfFfQq3ruywWA5uw7nhj,195320,3,mpb
10,0.455,0.407,4,-19.041,1,0.0988,0.291,0.000235,0.067,0.442,167.385,audio_features,1UsAjRCSavihMYsspqJz4e,spotify:track:1UsAjRCSavihMYsspqJz4e,https://api.spotify.com/v1/tracks/1UsAjRCSavihMYsspqJz4e,https://api.spotify.com/v1/audio-analysis/1UsAjRCSavihMYsspqJz4e,196560,1,mpb
11,0.763,0.555,9,-7.893,1,0.0353,0.382,1.4e-05,0.262,0.909,103.925,audio_features,2kgT6sMwXd3mdeXhBbLMQe,spotify:track:2kgT6sMwXd3mdeXhBbLMQe,https://api.spotify.com/v1/tracks/2kgT6sMwXd3mdeXhBbLMQe,https://api.spotify.com/v1/audio-analysis/2kgT6sMwXd3mdeXhBbLMQe,332133,4,mpb
12,0.62,0.404,1,-9.55,0,0.0641,0.364,1.45e-06,0.392,0.55,147.891,audio_features,6YjjYEAcnlzZavu53uTpDw,spotify:track:6YjjYEAcnlzZavu53uTpDw,https://api.spotify.com/v1/tracks/6YjjYEAcnlzZavu53uTpDw,https://api.spotify.com/v1/audio-analysis/6YjjYEAcnlzZavu53uTpDw,171907,4,mpb
13,0.604,0.752,6,-5.625,0,0.0352,0.22,0.0,0.112,0.756,135.943,audio_features,5a008ecFPEypprh1yOg1bM,spotify:track:5a008ecFPEypprh1yOg1bM,https://api.spotify.com/v1/tracks/5a008ecFPEypprh1yOg1bM,https://api.spotify.com/v1/audio-analysis/5a008ecFPEypprh1yOg1bM,240133,4,mpb
14,0.424,0.799,0,-6.0,1,0.144,0.492,0.0,0.408,0.688,82.794,audio_features,4877bJ149OUJZHTiU5Jg8P,spotify:track:4877bJ149OUJZHTiU5Jg8P,https://api.spotify.com/v1/tracks/4877bJ149OUJZHTiU5Jg8P,https://api.spotify.com/v1/audio-analysis/4877bJ149OUJZHTiU5Jg8P,250667,4,mpb
15,0.696,0.552,9,-12.234,0,0.0311,0.626,0.0291,0.125,0.459,127.933,audio_features,2WTUUgW4avcg6yBtt0797B,spotify:track:2WTUUgW4avcg6yBtt0797B,https://api.spotify.com/v1/tracks/2WTUUgW4avcg6yBtt0797B,https://api.spotify.com/v1/audio-analysis/2WTUUgW4avcg6yBtt0797B,273427,4,mpb
16,0.304,0.791,0,-4.995,1,0.0336,0.375,1.73e-05,0.725,0.385,86.255,audio_features,4CpwoEs39CydHJuTCl9kfm,spotify:track:4CpwoEs39CydHJuTCl9kfm,https://api.spotify.com/v1/tracks/4CpwoEs39CydHJuTCl9kfm,https://api.spotify.com/v1/audio-analysis/4CpwoEs39CydHJuTCl9kfm,251933,4,mpb
17,0.404,0.238,9,-13.005,1,0.0623,0.59,1.3e-06,0.103,0.302,79.41,audio_features,52V2BPdhlhFrUZF7AOrQP9,spotify:track:52V2BPdhlhFrUZF7AOrQP9,https://api.spotify.com/v1/tracks/52V2BPdhlhFrUZF7AOrQP9,https://api.spotify.com/v1/audio-analysis/52V2BPdhlhFrUZF7AOrQP9,224773,4,mpb
18,0.554,0.481,6,-12.479,1,0.0582,0.535,0.00206,0.114,0.805,179.762,audio_features,4dvSYOKfLQHarVXnVSG5wL,spotify:track:4dvSYOKfLQHarVXnVSG5wL,https://api.spotify.com/v1/tracks/4dvSYOKfLQHarVXnVSG5wL,https://api.spotify.com/v1/audio-analysis/4dvSYOKfLQHarVXnVSG5wL,122760,4,mpb
19,0.536,0.511,9,-7.221,0,0.0291,0.327,0.00056,0.844,0.38,123.997,audio_features,6abOIvFKsOkJ10I50XwhZ1,spotify:track:6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/tracks/6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/audio-analysis/6abOIvFKsOkJ10I50XwhZ1,286877,4,mpb
